transaction_id,timestamp,amount,payment_method,bank,customer_type,status,failure_reason,retry_count
TXN100000,2026-07-25 00:00:03,1028.16,UPI,KOTAK,RETURNING,FAILED,TIMEOUT,0
TXN100001,2026-07-25 00:00:05,327.4,CARD,AXIS,RETURNING,SUCCESS,,0
TXN100002,2026-07-25 00:00:13,568.98,UPI,SBI,RETURNING,SUCCESS,,0
TXN100003,2026-07-25 00:00:15,185.06,UPI,KOTAK,RETURNING,SUCCESS,,0
TXN100004,2026-07-25 00:00:25,1062.34,UPI,ICICI,RETURNING,SUCCESS,,0
TXN100005,2026-07-25 00:00:27,1786.28,UPI,ICICI,NEW,SUCCESS,,0
TXN100006,2026-07-25 00:00:37,1254.64,UPI,SBI,RETURNING,SUCCESS,,0
TXN100007,2026-07-25 00:00:37,1099.61,UPI,SBI,RETURNING,SUCCESS,,0
TXN100008,2026-07-25 00:00:55,653.4,UPI,SBI,NEW,SUCCESS,,0
TXN100009,2026-07-25 00:00:55,434.2,UPI,KOTAK,RETURNING,SUCCESS,,0
TXN100010,2026-07-25 00:00:56,217.27,UPI,ICICI,NEW,SUCCESS,,0
TXN100011,2026-07-25 00:00:59,330.82,UPI,HDFC,NEW,SUCCESS,,0
TXN100012,2026-07-25 00:01:04,366.86,CARD,AXIS,RETURNING,SUCCESS,,0
TXN100013,2026-07-25 00:01:08,930.64,CARD,AXIS,RETURNING,SUCCESS,,0
TXN100014,2026-07-25 00:01:09,1694.29,UPI,AXIS,RETURNING,SUCCESS,,0
TXN100015,2026-07-25 00:01:11,780.03,UPI,KOTAK,RETURNING,SUCCESS,,0
TXN100016,2026-07-25 00:01:13,604.92,UPI,ICICI,RETURNING,SUCCESS,,0
TXN100017,2026-07-25 00:01:22,2820.94,UPI,SBI,RETURNING,SUCCESS,,0
TXN100018,2026-07-25 00:01:26,1004.94,CARD,HDFC,RETURNING,SUCCESS,,0
TXN100019,2026-07-25 00:01:34,218.7,NETBANKING,ICICI,RETURNING,SUCCESS,,0
TXN100020,2026-07-25 00:01:35,625.83,UPI,ICICI,RETURNING,SUCCESS,,0
TXN100021,2026-07-25 00:01:39,466.47,CARD,ICICI,RETURNING,SUCCESS,,0
